strain,country,region,year,classification,strain,ST,K_locus,O_locus,O_type
GCF_900517165.1,Spain,Europe_southern,2014,human_blood_bone_sterile,EuSCAPE_ES205,ST466,KL22,O1/O2v1,unknown
GCF_900508485.1,Lithuania,Europe_northern,2013,human_urogenital_urine,EuSCAPE_LT009,ST86,KL2,O1/O2v1,unknown
GCF_900501705.1,Greece,Europe_southern,2014,human_respiratory,EuSCAPE_GR079,ST308,KL157,O1/O2v1,unknown
GCF_900511415.1,Poland,Europe_eastern,2013,human_catheter_tube_tip,EuSCAPE_PL014,ST704,KL31,O1/O2v1,unknown
GCF_900506865.1,Belgium,Europe_western,2014,human_urogenital_urine,EuSCAPE_BE026,ST15,unknown,O1/O2v1,unknown
GCF_900516335.1,Spain,Europe_southern,2013,human_wound_trauma,EuSCAPE_ES052,ST15,KL24,O1/O2v1,unknown
GCF_900509175.1,Turkey,Asia_western,2013,human_respiratory,EuSCAPE_TR275,ST15,KL112,O1/O2v1,unknown
GCF_900504875.1,UK,Europe_northern,2014,human_urogenital_urine,EuSCAPE_UK029,ST461,unknown,O1/O2v2,unknown
GCF_900501585.1,Greece,Europe_southern,2014,human_urogenital_urine,EuSCAPE_GR154,ST258,KL106,O1/O2v2,unknown
GCF_900507365.1,Turkey,Asia_western,2014,human_wound_trauma,EuSCAPE_TR123,ST395,KL108,O1/O2v2,unknown
GCF_900501275.1,Greece,Europe_southern,2013,human_blood_bone_sterile,EuSCAPE_GR050,ST39,KL23,O1/O2v2,unknown
GCF_900516185.1,Italy,Europe_southern,2014,human_urogenital_urine,EuSCAPE_IT362,ST10,KL122,O1/O2v2,unknown
GCF_900510445.1,France,Europe_western,2014,human_urogenital_urine,EuSCAPE_FR019,ST3147,KL38,O12,O12
GCF_900503785.1,Cyprus,Asia_western,2014,human_urogenital_urine,EuSCAPE_CY006,ST15,KL24,O1v1,O1
GCF_900512495.1,Germany,Europe_western,2013,human_respiratory,EuSCAPE_DE005,ST14,KL16,O1v1,O1
