column_name	type	display name
strain	strain	strain
species	species	species
species_match	species_match	Species match
contig_count	contig_count	Contig count
N50	N50	N50
largest_contig	largest_contig	Largest contig
ST	ST	ST
virulence_score	virulence_score	Virulence score
resistance_score	resistance_score	Resistance score
num_resistance_classes	num_resistance_classes	# Resistance classes
num_resistance_genes	num_resistance_genes	# Resistance genes
Yersiniabactin	virulence_locus	Yersiniabactin
YbST	virulence_ST	YbST
Colibactin	virulence_locus	Colibactin
CbST	virulence_ST	CbST
Aerobactin	virulence_locus	Aerobactin
AbST	virulence_ST	AbST
Salmochelin	virulence_locus	Salmochelin
SmST	virulence_ST	SmST
hypermucoidy	virulence_locus	hypermucoidy
wzi	allele	wzi
K_locus	K-locus	K locus
Chr_ST	ST	Chr ST
gapA	allele	gapA
infB	allele	infB
mdh	allele	mdh
pgi	allele	pgi
phoE	allele	phoE
rpoB	allele	rpoB
tonB	allele	tonB
ybtS	allele	ybtS
ybtX	allele	ybtX
ybtQ	allele	ybtQ
ybtP	allele	ybtP
ybtA	allele	ybtA
irp2	allele	irp2
irp1	allele	irp1
ybtU	allele	ybtU
ybtT	allele	ybtT
ybtE	allele	ybtE
fyuA	allele	fyuA
clbA	allele	clbA
clbB	allele	clbB
clbC	allele	clbC
clbD	allele	clbD
clbE	allele	clbE
clbF	allele	clbF
clbG	allele	clbG
clbH	allele	clbH
clbI	allele	clbI
clbL	allele	clbL
clbM	allele	clbM
clbN	allele	clbN
clbO	allele	clbO
clbP	allele	clbP
clbQ	allele	clbQ
AGly	resistance_class	Aminoglycosides
Col	resistance_class	Colistin
Fcyn	resistance_class	Fosfomycin
Flq	resistance_class	Fluoroquinolones
Gly	resistance_class	Glycopeptides
MLS	resistance_class	Macrolides
Ntmdz	resistance_class	Nitroimidazole
Phe	resistance_class	Phenicols
Rif	resistance_class	Rifampin
Sul	resistance_class	Sulfonamides
Tet	resistance_class	Tetracycline
Tmt	resistance_class	Trimethoprim
Bla	resistance_class	Beta-lactamases
Bla_Carb	resistance_class	Carbapenemases
Bla_ESBL	resistance_class	ESBL
Bla_ESBL_inhR	resistance_class	ESBL + inhibitors
Bla_broad	resistance_class	Broad spectrum beta-lactamases
Bla_broad_inhR	resistance_class	Broad spectrum beta-lactamases + inhibitors
