strain	species	species_match	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	hypermucoidy	wzi	K_locus	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Ntmdz	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR474467	Klebsiella pneumoniae	strong	130	309177	769298	ST76	1	0	6	8	ybt 16; ICEKp12	277-2LV	-	0	-	0	-	0	-	wzi39	KL39	none	Very high	99.93%		O3/O3a	none	Very high	97.98%		ST76	4	1	1	1	21	1	35	6*	15	5	4	11	245	23	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;Aac3-IId*	-	-	-	-	MphA	-	CatA1*;CatB3*	-	SulI	TetB*	DfrA17	AmpH*;SHV-187*;OXA-1	-	-	-	-	-
ERR474468	Klebsiella pneumoniae	strong	105	326071	1138302	ST16	0	1	9	13	-	0	-	0	-	0	-	0	-	wzi50	KL51	none	Very high	99.94%		O3b	none	Very high	99.08%		ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aph3-Ia*	-	-	ParC-84K;GyrA-83F;GyrA-87N	-	MphA	-	CatB4?	-	SulI	TetA	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	-	SHV-26*;TEM-30*
ERR474469	Klebsiella pneumoniae	strong	149	346219	723960	ST101	1	1	3	5	ybt 9; ICEKp3	172-1LV	-	0	-	0	-	0	-	wzi137	KL17	none	Perfect	100.00%		O1v1	none	Very high	98.03%		ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	78	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	ParC-80I;GyrA-83Y;GyrA-87A	-	-	-	-	-	-	-	-	AmpH*	-	CTX-M-15	-	-	-
ERR474470	Klebsiella pneumoniae	strong	189	280008	1018037	ST874	0	1	10	17	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA5;Aac3-IIa*;StrB?;StrA?;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII*	TetD	DfrA17	AmpH*;OXA-1	-	CTX-M-15	-	SHV-1?	TEM-30*
ERR474474	Klebsiella pneumoniae	strong	185	217149	1017887	ST874-1LV	0	1	8	15	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	CatB4?	-	SulI;SulII	-	DfrA12	SHV-121;AmpH*;OXA-1	-	CTX-M-15	-	-	TEM-30*
ERR474475	Klebsiella pneumoniae	strong	203	160529	351894	ST252	0	0	2	2	-	0	-	0	-	0	-	0	-	wzi104	KL51	?-	Good	99.41%	KL51_14_wcoZ	O1v2	none	Very high	98.46%		ST252	2	5	1	1	9	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83Y	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-1?	-
ERR474476	Klebsiella pneumoniae	strong	155	286709	1126040	ST874-1LV	0	1	8	15	-	0	-	0	-	0	-	0	-	wzi222	KL45	none	Very high	98.41%		O1v2	none	Very high	99.49%		ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80I;GyrA-83Y;GyrA-87N	-	MphA	-	-	-	SulI;SulII	TetA	DfrA12	AmpH*;SHV-121	-	CTX-M-15	-	-	TEM-30*
ERR474477	Klebsiella pneumoniae	strong	188	284289	872424	ST340	0	1	8	11	-	0	-	0	-	0	-	0	-	wzi50	KL15	none	Very high	99.80%		O4	none	Very high	99.66%		ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;Aac3-IIa*	-	-	ParC-80I;GyrA-83I	-	-	-	CatB4?;CatA1*	-	SulI	-	DfrA30*	AmpH*;OXA-1	-	CTX-M-15*	-	SHV-11	TEM-30*
ERR474478	Klebsiella pneumoniae	strong	157	204127	484555	ST15	0	0	5	9	-	0	-	0	-	0	-	0	-	wzi24	KL24	-	High	99.98%	KL24_13_wcuG	O1v1	?-	Good	98.53%	O1/O2v1_04_glf	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	-	-	CatA1*	-	SulI	-	DfrA12	AmpH*;SHV-28*	-	-	-	-	-
ERR474479	Klebsiella pneumoniae	strong	169	352698	803776	ST336	1	0	5	7	ybt 15; ICEKp11	230	-	0	-	0	-	0	-	wzi141	KL25	-	High	99.17%	KL25_09_wfeD	O5	*	High	94.21%		ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aph3-Ia*	-	-	-	-	MphA	-	-	-	SulII*	-	DfrA14	AmpH*;SHV-187*	-	-	-	-	TEM-30*
ERR474482	Klebsiella pneumoniae	strong	173	231320	1350481	ST11	1	1	9	17	ybt 10; ICEKp4	112-2LV	-	0	-	0	-	0	-	wzi24	KL24	-	High	99.99%	KL24_13_wcuG	O2v1	none	Very high	98.52%		ST11	3	3	1	1	1	1	4	3	10	4	3	29	5	122*	3	10	9	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac3-IIa*;StrB;StrA*?;Aph3-Ia*	-	-	ParC-80I;GyrA-83F;GyrA-87A	-	MphA	-	CatA1*;CatB4?	-	SulI;SulII	-	DfrA12	AmpH*;OXA-1	-	CTX-M-15	-	SHV-11	TEM-30*
ERR474483	Klebsiella pneumoniae	strong	137	330296	1450870	ST1	0	1	7	8	-	0	-	0	-	0	-	0	-	wzi45	KL45	none	Very high	98.41%		O1v2	none	Very high	99.50%		ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80I;GyrA-83I	-	-	-	CatA2*	-	SulII	TetA	DfrA12	SHV-187*;AmpH*	-	CTX-M-15	-	-	TEM-30*
